covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
driver_risk_score,-0.1317873168297738,0.8765273978820728,0.013757826800161056,-0.1587521618636294,-0.10482247179591819,0.8532077901963476,0.900484369770123,0.0,-9.57907951190598,9.791366164399431e-22,69.79090791808153
environmental_risk,0.0011737462276922993,1.0011744353373828,0.01355623660648495,-0.025395989286921685,0.027743481742306283,0.9749237762096106,1.0281319159843938,0.0,0.08658348638816246,0.931002592552674,0.10314290964069577
logistics_risk,-0.022359057490422607,0.977889053618317,0.014220443044552923,-0.05023061370194945,0.0055124987211042364,0.9510100832542471,1.005527720499337,0.0,-1.5723179242989298,0.11587683815170079,3.109335870415762
speed_kmph,0.27517562054737493,1.3167619050091655,0.018853947862994092,0.2382225617695106,0.31212867932523924,1.268991590412148,1.366330500204683,0.0,14.595119417269663,3.0168400199994036e-48,157.85951036075147
